method,gap_seconds,mean_mae,std_mae,mean_rmse,std_rmse,mean_correlation,mean_r_peak_recall,mean_r_peak_precision,mean_r_peak_f1,mean_r_peak_timing_error_ms,n_peak_evaluable,n
basic_autoencoder,0.25,0.0655587724218478,0.0500905193416328,0.0960220069180855,0.0845514274057203,0.4759730398886986,0.411002444987775,0.363538062283737,0.411002444987775,18.41165972635336,4090,10990
basic_autoencoder,0.5,0.0782092606238224,0.0471129319481703,0.1212809879850558,0.0775800785668399,0.367748753214503,0.2316516751401381,0.229625482145079,0.2323686611915004,21.61849710982659,7671,10990
basic_autoencoder,1.0,0.0853578040216989,0.0456819370667388,0.1364508149433572,0.0666219206527413,0.2222217234732204,0.1042068817599656,0.1684128297031522,0.1244752887826699,21.85961236249345,10879,10990
basic_autoencoder,2.0,0.0894357930536672,0.0446388002505374,0.1408913734846081,0.064658134176183,0.1694793711584659,0.0514716014716014,0.1557466557466557,0.0757905091238424,21.973684210526315,10989,10990
cubic,0.25,0.1945692240283422,0.3318432008139251,0.2446443027596381,0.3832648612525914,0.2048364077429902,0.4581907090464547,0.3302202643171806,0.4581907090464547,49.898612593383135,4090,10990
cubic,0.5,0.3382152801085928,0.6112256921611924,0.4148303285814835,0.7014995546491543,0.0439172982493114,0.3038717246773563,0.2480509903076274,0.3020249424238474,52.51341312422617,7671,10990
cubic,1.0,0.6405085737331414,1.222380109307258,0.7570272977971509,1.4084136703981425,0.006186035139753,0.1859239513435671,0.2427829887988343,0.202141740968839,52.66101108033241,10879,10990
cubic,2.0,1.2123409371341731,2.414742769597713,1.4134430123362571,2.797159786678696,0.0103689656555028,0.1290103956770623,0.3177888989990901,0.1774549441216107,52.76549241450244,10989,10990
linear,0.25,0.0891045264746981,0.0899259841964564,0.1265615497895637,0.1226279086731323,0.2576534810243265,0.0004889975550122,0.0004889975550122,0.0004889975550122,15.0,4090,10990
linear,0.5,0.0992523464946257,0.0836846440549272,0.1500123156598168,0.1083505628507809,0.1218906270305687,0.0001955416503715,0.0002606882168925,0.0002172685004128,45.0,7671,10990
linear,1.0,0.1050636041691667,0.0848320658985015,0.1605958497860181,0.0994414892036907,0.0565340437414788,0.0,0.0,0.0,,10879,10990
linear,2.0,0.1082372529296589,0.0875379495953678,0.1637032868023673,0.1006674346724611,0.0907086124467076,0.0,0.0,0.0,,10989,10990
pchip,0.25,0.0867269506933166,0.0879081239226776,0.1257415711271913,0.1236953133019896,0.253858749189228,0.0004889975550122,0.0004889975550122,0.0004889975550122,15.0,4090,10990
pchip,0.5,0.0989448578040996,0.0837194991566842,0.1508208555620235,0.110589512146406,0.1067619781671674,0.0001955416503715,0.0002606882168925,0.0002172685004128,45.0,7671,10990
pchip,1.0,0.1068739237986654,0.0887826016501273,0.1629031837703465,0.1043524443553216,0.0451302988837449,0.0,0.0,0.0,,10879,10990
pchip,2.0,0.1106923505718107,0.0924926588679852,0.1664206541188271,0.106128919063679,0.0802667210203507,0.0,0.0,0.0,,10989,10990
unet_autoencoder,0.25,0.0388123169186922,0.0342782841599094,0.0532835209398344,0.0507991748062873,0.7600103541439979,0.7777506112469438,0.734981515711645,0.7777506112469438,6.494812951901918,4090,10990
unet_autoencoder,0.5,0.043959930722811,0.0340131698592795,0.0665647620714445,0.0541644982827947,0.7936696846334885,0.7830139486377266,0.7743082000507743,0.7841002911397905,8.26256077795786,7671,10990
unet_autoencoder,1.0,0.0504860848868036,0.0342700389961018,0.0825652534077732,0.054983048269379,0.7374349095676554,0.7829304163985661,0.833226378193375,0.7926126788614151,10.955838507138097,10879,10990
unet_autoencoder,2.0,0.0628224086818082,0.0357552861624292,0.1031590440796113,0.0558674547009356,0.6290196253689974,0.7142350142350142,0.7938186229905976,0.7362978812473762,16.50061716039498,10989,10990
diffusion,0.25,0.028656264570066273,0.033946634088511694,0.04184392388580406,0.05363805343208881,0.8164292299000028,0.8349633251833741,0.8014550574982399,0.8349633251833741,7.09809663250366,4090,10990
diffusion,0.5,0.03722936371343466,0.035699264366960415,0.06153500311985931,0.061869674125136546,0.814705852228925,0.8421978881501759,0.8380380636096564,0.8438056750532308,10.731854534480156,7671,10990
diffusion,1.0,0.0471597015092046,0.0356922338448311,0.08461565794512202,0.06038638038836644,0.714421332745092,0.8353402579893985,0.8732771003331194,0.8407727425927628,14.77956078275026,10879,10990
diffusion,2.0,0.06215115607003457,0.036684663384347484,0.11032909631857934,0.059803542460441735,0.555440926148412,0.7699379032712367,0.7895046561713228,0.7668403415878164,24.902249410565222,10989,10990
