metric,metric_label,gap_seconds,n_pairs,mean_unet,mean_diffusion,median_unet,median_diffusion,mean_diffusion_advantage,mean_advantage_ci95_low,mean_advantage_ci95_high,median_diffusion_advantage,median_advantage_ci95_low,median_advantage_ci95_high,diffusion_wins,unet_wins,ties,diffusion_win_rate,unet_win_rate,rank_biserial_effect,wilcoxon_statistic,wilcoxon_p,wilcoxon_p_holm,significant_holm_0_05
rmse,RMSE,0.25,10990,0.05328352093983444,0.04184392388580402,0.0377056840807199,0.02305243164300915,0.011439597054030423,0.010809579987932263,0.012099323025259493,0.009199452120810699,0.008832565881311868,0.009554720018059,8436,2554,0,0.767606915377616,0.23239308462238398,0.6021263323313003,12014898.5,0.0,0.0,True
rmse,RMSE,0.5,10990,0.06656476207144446,0.061535003119859266,0.05176425538957115,0.041707122698426205,0.005029758951585195,0.0044257519507672205,0.0056724319363500595,0.006959431804716551,0.00663356075529008,0.007368754595518154,7373,3617,0,0.6708826205641493,0.3291173794358508,0.32030907246552703,20525152.0,6.252204870314414e-186,1.2504409740628828e-185,True
rmse,RMSE,1.0,10990,0.08256525340777317,0.08461565794512198,0.06803764030337325,0.068814106285572,-0.0020504045373488135,-0.0026282720937409704,-0.0014963163538591045,7.500499486925993e-05,-0.0004364616703241623,0.0005402798298746391,5513,5477,0,0.5016378525932667,0.4983621474067334,-0.03827070357590117,29042082.5,0.0005116005597984061,0.0005116005597984061,True
rmse,RMSE,2.0,10990,0.10315904407961132,0.1103290963185793,0.08992101252079004,0.09734498709440226,-0.007170052238967985,-0.007676369238825341,-0.006656753673536823,-0.005375087261199944,-0.00576736032962805,-0.0049168504774570465,4243,6747,0,0.38607825295723386,0.6139217470427661,-0.32495309049698945,20384913.0,2.6675524880432056e-191,8.002657464129617e-191,True
mae,MAE,0.25,10990,0.038812316918692205,0.028656264570066228,0.02986613195389505,0.01844754256308075,0.010156052348625976,0.009722922190875952,0.010626557237454148,0.008049554657191049,0.007802588259801263,0.008318268635775842,8625,2365,0,0.7848043676069154,0.21519563239308462,0.6700230124589488,9964570.0,0.0,0.0,True
mae,MAE,0.5,10990,0.043959930722810986,0.03722936371343462,0.03577459789812565,0.027304053306579548,0.006730567009376364,0.006369826574417385,0.007106457246589606,0.0064635826274752495,0.006231958977878101,0.006746477936394541,7948,3042,0,0.7232029117379436,0.2767970882620564,0.5057543068780984,14925119.0,0.0,0.0,True
mae,MAE,1.0,10990,0.05048608488680365,0.04715970150920456,0.042072108015418,0.03801867924630635,0.0033263833775990957,0.0029862981884370824,0.003647471560524172,0.0034547448158264507,0.003237326396629209,0.003727906453423174,6830,4160,0,0.62147406733394,0.37852593266606005,0.29041748029593906,21427811.5,3.2694044682134e-153,6.5388089364268e-153,True
mae,MAE,2.0,10990,0.06282240868180823,0.062151156070034526,0.0546371135860681,0.05423093400895595,0.0006712526117737075,0.0003064734343646112,0.0010409510556249975,0.0005622319877147501,0.00028461674228307454,0.0008027199655771047,5710,5280,0,0.5195632393084623,0.48043676069153773,0.04382762006700991,28874276.0,6.917026828989359e-05,6.917026828989359e-05,True
correlation,Correlation,0.25,10990,0.7600103541439979,0.8164292299000028,0.8977455967704979,0.938489393651982,0.05641887575600495,0.05231835125630214,0.060749124501412,0.019788784899448908,0.018336678236896276,0.02120771607791916,7795,3195,0,0.7092811646951774,0.29071883530482256,0.4166598546300062,17615573.0,0.0,0.0,True
correlation,Correlation,0.5,10990,0.7936696846334885,0.814705852228925,0.8934947349465696,0.9213690486989767,0.021036167595436507,0.017394197223389515,0.02484562024849628,0.017701563072713034,0.016614359799680345,0.019001837698149417,7207,3783,0,0.6557779799818017,0.34422202001819835,0.2559666114446024,22468151.0,1.8258968694261448e-119,3.6517937388522896e-119,True
correlation,Correlation,1.0,10990,0.7374349095676554,0.714421332745092,0.847567949705315,0.827964549882986,-0.02301357682256353,-0.02666156416069204,-0.019432202018756763,-0.002087595607653814,-0.004119949869227979,0.00029578981922462333,5404,5586,0,0.49171974522292994,0.5082802547770701,-0.10334300319667618,27077044.0,6.440208593686558e-21,6.440208593686558e-21,True
correlation,Correlation,2.0,10990,0.6290196253689974,0.555440926148412,0.7134503470435063,0.6105361089616658,-0.07357869922058537,-0.07721785996079802,-0.06979164562337832,-0.058791022209409016,-0.06230881403009351,-0.05500696784017067,3824,7166,0,0.34795268425841674,0.6520473157415833,-0.4220518417376646,17452747.0,0.0,0.0,True
r_peak_f1,Peak-event F1,0.25,4090,0.7777506112469438,0.8349633251833741,1.0,1.0,0.05721271393643032,0.04644865525672372,0.06723716381418093,0.0,0.0,0.0,360,126,3604,0.08801955990220049,0.03080684596577017,0.48148148148148145,30681.0,2.5527826991409382e-26,2.5527826991409382e-26,True
r_peak_f1,Peak-event F1,0.5,7671,0.7841002911397905,0.8438056750532308,1.0,1.0,0.05970538391344023,0.05207817320644853,0.06681223656194324,0.0,0.0,0.0,829,327,6515,0.10806935210533176,0.04262807978099335,0.4914840612130764,170034.0,5.115147513301693e-52,1.534544253990508e-51,True
r_peak_f1,Peak-event F1,1.0,10879,0.7926126788614148,0.8407727425927628,1.0,1.0,0.04816006373134786,0.04270245426969391,0.053966587002481844,0.0,0.0,0.0,1738,941,8200,0.1597573306370071,0.08649692067285596,0.37945212348113855,1113840.0,1.3193910308562848e-65,5.277564123425139e-65,True
r_peak_f1,Peak-event F1,2.0,10989,0.7362978812473762,0.7668403415878164,0.8571428571428571,0.8571428571428571,0.03054246034044014,0.025890300637775386,0.03527559108367189,0.0,0.0,0.0,2984,2440,5565,0.2715442715442715,0.22204022204022203,0.1907237436225364,5962062.0,4.344491716572627e-34,8.688983433145255e-34,True
