output,coefficient,coefficient_squared,degree_gap_length,degree_gap_position,degree_measurement_noise,degree_baseline_wander
RMSE,0.07217925836469079,0.005209845338076785,0,0,0,0
RMSE,0.006038619286466068,3.646492288687996e-05,0,0,0,1
RMSE,0.0009991711808377374,9.983430486166787e-07,0,0,0,2
RMSE,0.0010879956661434384,1.1837345695469043e-06,0,0,1,0
RMSE,-0.0007238150807463506,5.239082711158461e-07,0,0,1,1
RMSE,8.343633428754688e-05,6.961621879343271e-09,0,0,2,0
RMSE,0.00129290534557977,1.6716042326287448e-06,0,1,0,0
RMSE,-0.0003501051526739198,1.225736179288287e-07,0,1,0,1
RMSE,0.0007931352541235442,6.290635313336191e-07,0,1,1,0
RMSE,0.0008611103759210713,7.415110795189287e-07,0,2,0,0
RMSE,0.006902623309166317,4.7646208548246154e-05,1,0,0,0
RMSE,-0.003597553936341422,1.2942394324885659e-05,1,0,0,1
RMSE,-0.00017190097143414624,2.954994398000316e-08,1,0,1,0
RMSE,-4.041418056538893e-05,1.6333059907718604e-09,1,1,0,0
RMSE,-0.0009394440960367787,8.825552095783602e-07,2,0,0,0
CRPS,0.035715351766843303,0.001275586351829357,0,0,0,0
CRPS,0.005063000038362887,2.56339693884626e-05,0,0,0,1
CRPS,0.0010925277176907795,1.1936168139226234e-06,0,0,0,2
CRPS,0.000527752971133239,2.7852319853996136e-07,0,0,1,0
CRPS,-0.0009497060672020306,9.019416140803479e-07,0,0,1,1
CRPS,0.00015085819123449864,2.2758193862544562e-08,0,0,2,0
CRPS,0.000536599987929869,2.879395470463356e-07,0,1,0,0
CRPS,-0.0001438936049449747,2.0705369544060446e-08,0,1,0,1
CRPS,5.890953753261174e-05,3.4703336123061912e-09,0,1,1,0
CRPS,0.0007474972356916879,5.587521173667149e-07,0,2,0,0
CRPS,0.0013483591901688877,1.8180725057128988e-06,1,0,0,0
CRPS,-0.002691076145456272,7.241890820643788e-06,1,0,0,1
CRPS,0.0004828128941029666,2.331082907120824e-07,1,0,1,0
CRPS,-7.3697249207879e-05,5.431284540808223e-09,1,1,0,0
CRPS,0.0005360776634732473,2.873792612749362e-07,2,0,0,0
PICP90,0.7650923262137302,0.585366267631137,0,0,0,0
PICP90,-0.06538848880604817,0.004275654468338687,0,0,0,1
PICP90,-0.010072627366154843,0.00010145782205741146,0,0,0,2
PICP90,0.06108149832014488,0.0037309494370338617,0,0,1,0
PICP90,0.01691885391552423,0.00028624761781484957,0,0,1,1
PICP90,0.0005378625984094549,2.8929617476777054e-07,0,0,2,0
PICP90,0.0022141629852963822,4.902517725456587e-06,0,1,0,0
PICP90,0.0028692379477260844,8.232526400671393e-06,0,1,0,1
PICP90,0.0017920877861426349,3.21157863324161e-06,0,1,1,0
PICP90,0.001563045956889226,2.443112663347756e-06,0,2,0,0
PICP90,0.05027637952635625,0.0025277143382782144,1,0,0,0
PICP90,0.04466693884736367,0.0019951354259941257,1,0,0,1
PICP90,-0.022587860802790186,0.0005102114556462253,1,0,1,0
PICP90,-0.0009549864232442674,9.119990685808791e-07,1,1,0,0
PICP90,-0.020950684510545412,0.00043893118146040745,2,0,0,0
MPIW90,0.15786343122834953,0.024920862919187842,0,0,0,0
MPIW90,0.005643556387769985,3.18497287019394e-05,0,0,0,1
MPIW90,0.00046553729819222967,2.1672497600812098e-07,0,0,0,2
MPIW90,0.02084136242933309,0.00043436238791081684,0,0,1,0
MPIW90,-0.000769586325828272,5.922631129018592e-07,0,0,1,1
MPIW90,0.0028380175533274624,8.054343632994795e-06,0,0,2,0
MPIW90,0.002906743687550339,8.449158865113742e-06,0,1,0,0
MPIW90,0.0006320147216185856,3.9944260834261823e-07,0,1,0,1
MPIW90,0.0008654047643679275,7.489254061907082e-07,0,1,1,0
MPIW90,0.0005005705355949972,2.5057086110586234e-07,0,2,0,0
MPIW90,0.020485042395016844,0.00041963696192563743,1,0,0,0
MPIW90,0.0016948387105295342,2.8724782547094144e-06,1,0,0,1
MPIW90,-0.0020799771958050816,4.3263051350691705e-06,1,0,1,0
MPIW90,-0.0007721953251617655,5.962856202016847e-07,1,1,0,0
MPIW90,-0.0025193649180122266,6.347199590110753e-06,2,0,0,0
Sample uncertainty,0.06041940942571382,0.003650505035352036,0,0,0,0
Sample uncertainty,0.002100581995012205,4.412444717769455e-06,0,0,0,1
Sample uncertainty,0.00014091790661615217,1.9857856405078583e-08,0,0,0,2
Sample uncertainty,0.007759336309428352,6.02072999628132e-05,0,0,1,0
Sample uncertainty,-0.0003072006901439345,9.437226402490966e-08,0,0,1,1
Sample uncertainty,0.0010459778844019848,1.094069734658052e-06,0,0,2,0
Sample uncertainty,0.0011756959522150512,1.382260972054856e-06,0,1,0,0
Sample uncertainty,0.0002502029914388119,6.260153692493018e-08,0,1,0,1
Sample uncertainty,0.00036636917116207156,1.342263695779833e-07,0,1,1,0
Sample uncertainty,8.094270578136735e-05,6.5517216192089994e-09,0,2,0,0
Sample uncertainty,0.007924123576070979,6.279173444884392e-05,1,0,0,0
Sample uncertainty,0.0006487981277445937,4.209390105648901e-07,1,0,0,1
Sample uncertainty,-0.0008249164925794516,6.804872197295844e-07,1,0,1,0
Sample uncertainty,-0.0003117808227443464,9.720728143114155e-08,1,1,0,0
Sample uncertainty,-0.0009748394271665965,9.50311908758498e-07,2,0,0,0
Correlation,0.6295507037297908,0.39633408856667485,0,0,0,0
Correlation,-0.02810132704603576,0.0007896845817482609,0,0,0,1
Correlation,-0.005359763179192431,2.8727061337026954e-05,0,0,0,2
Correlation,-0.017712711205184358,0.0003137401382382635,0,0,1,0
Correlation,-0.0005103185067970653,2.604249783795864e-07,0,0,1,1
Correlation,-0.007580064193308779,5.7457373174681866e-05,0,0,2,0
Correlation,-0.003260711878955436,1.063224195756109e-05,0,1,0,0
Correlation,-0.000380605720502442,1.44860714479183e-07,0,1,0,1
Correlation,-0.006803667788638825,4.628989537816152e-05,0,1,1,0
Correlation,-0.00970753799973768,9.423629401635104e-05,0,2,0,0
Correlation,-0.06315467678392861,0.003988513199682491,1,0,0,0
Correlation,0.0022948372118707927,5.266277828986913e-06,1,0,0,1
Correlation,0.005922121399517208,3.507152187061966e-05,1,0,1,0
Correlation,-0.004513185363214073,2.0368842122729743e-05,1,1,0,0
Correlation,0.01180277243151764,0.00013930543707019283,2,0,0,0
