output,output_column,factor,factor_label,S1,ST,interaction_share
RMSE,mean_rmse_mv,gap_seconds,Gap length,0.46731937494858716,0.5922515531797168,0.12493217823112962
RMSE,mean_rmse_mv,gap_position,Gap position,0.023237672918669645,0.03049147151269245,0.0072537985940228054
RMSE,mean_rmse_mv,noise_std_mv,Measurement noise,0.011466094679596299,0.022853471579660643,0.011387376900064344
RMSE,mean_rmse_mv,baseline_wander_mv,Baseline wander,0.3607615085328895,0.49161885264818755,0.13085734411529804
CRPS,mean_crps_mv,gap_seconds,Gap length,0.05470473669811472,0.24906443736299644,0.19435970066488173
CRPS,mean_crps_mv,gap_position,Gap position,0.021999100284529127,0.022768361538476264,0.0007692612539471379
CRPS,mean_crps_mv,noise_std_mv,Measurement noise,0.007828020333612181,0.03740953383297404,0.029581513499361858
CRPS,mean_crps_mv,baseline_wander_mv,Baseline wander,0.6970456708904216,0.9091801390588754,0.21213446816845383
PICP90,mean_picp90,gap_seconds,Gap length,0.21363841072041795,0.39412278627728076,0.1804843755568628
PICP90,mean_picp90,gap_position,Gap position,0.0005289842657514507,0.0014187900836657543,0.0008898058179143036
PICP90,mean_picp90,noise_std_mv,Measurement noise,0.26869941409494363,0.32628646521935367,0.05758705112441004
PICP90,mean_picp90,baseline_wander_mv,Baseline wander,0.3152110041604904,0.4800941451780965,0.1648831410176061
MPIW90,mean_mpiw90_mv,gap_seconds,Gap length,0.46368006319925437,0.47216492817247135,0.008484864973216988
MPIW90,mean_mpiw90_mv,gap_position,Gap position,0.009469580312367575,0.011368620653999696,0.0018990403416321213
MPIW90,mean_mpiw90_mv,noise_std_mv,Measurement noise,0.48156677307604157,0.4877357907371499,0.006169017661108334
MPIW90,mean_mpiw90_mv,baseline_wander_mv,Baseline wander,0.034904056561776635,0.03911018728693884,0.0042061307251622035
Sample uncertainty,mean_sample_std_mv,gap_seconds,Gap length,0.4816013915000822,0.4906576361632539,0.00905624466317173
Sample uncertainty,mean_sample_std_mv,gap_position,Gap position,0.010493138580051782,0.0127147138784755,0.002221575298423718
Sample uncertainty,mean_sample_std_mv,noise_std_mv,Measurement noise,0.4631609217805099,0.4700294965592633,0.006868574778753411
Sample uncertainty,mean_sample_std_mv,baseline_wander_mv,Baseline wander,0.03348814807884279,0.03785455345952011,0.00436640538067732
Correlation,mean_correlation,gap_seconds,Gap length,0.7464817291454616,0.7574600213007104,0.010978292155248814
Correlation,mean_correlation,gap_position,Gap position,0.018964604057397017,0.03104548015620228,0.012080876098805263
Correlation,mean_correlation,noise_std_mv,Measurement noise,0.0671279880629672,0.08188862056248551,0.014760632499518311
Correlation,mean_correlation,baseline_wander_mv,Baseline wander,0.14800295077006978,0.14902860594470613,0.0010256551746363474
